"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6052","ホワイト","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6060","ブラック","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6054","アッシュ","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6115","ミックスグレー","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6058","チャコール","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6055","オートミール","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6116","ライトグレー","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6053","アイボリー","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6063","ナチュラル","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6065","イエロー","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6117","ゴールド","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6118","ミントグリーン","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6093","グリーン","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6119","シティグリーン","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6120","メロン","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6078","ダークブラウン","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6062","ライトベージュ","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6099","パープル","5001-01-0001.jpg",""
"__ITEMID__","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6067","オレンジ","5001-01-0001.jpg",""
